Fecha,NO2,O3,PM25,PRE,RS,TMP,VEL,CO,DIR,HUM,LLU,AOD
2021-08-19,10.0,36.81,11.67,771.63,157.24,16.92,1.44,0.45,106.49,68.46,0.0,0.41234
2021-09-01,20.37,23.42,15.37,770.93,232.08,16.64,1.18,0.59,149.76,67.06,0.0,0.40824
2021-09-02,14.39,26.3,11.11,771.38,204.02,17.22,1.25,0.38,80.66,69.86,0.6,0.301
2021-09-03,18.55,21.47,15.62,771.17,277.27,16.99,1.38,0.48,134.49,68.24,0.4,0.24397
2021-09-04,14.8,27.96,12.71,770.53,251.9,17.25,1.68,0.47,121.63,66.52,0.0,0.43044
2021-09-05,10.51,33.89,11.25,770.73,215.08,16.41,1.38,0.36,90.06,66.95,0.0,0.44183
2021-09-10,15.83,26.42,14.22,770.79,240.26,16.81,1.38,0.54,149.87,69.57,0.0,0.33987
2021-09-14,14.98,35.84,10.49,772.03,229.61,15.21,1.33,0.45,87.17,62.39,0.0,0.18767
2021-09-16,13.39,41.9,9.27,771.84,267.34,17.75,1.86,0.45,106.93,55.94,0.0,0.28479000000000004
2021-09-24,20.32,29.38,12.96,770.6,301.95,16.93,1.99,0.67,104.05,60.39,0.0,0.39781
2021-10-02,24.34,25.14,18.57,769.93,261.89,16.09,0.86,0.72,97.12,75.79,4.4,0.36666000000000004
2021-10-12,28.29,22.68,16.17,770.89,240.27,16.41,1.01,0.67,147.77,78.32,9.0,0.36939
2021-10-13,20.41,29.39,14.09,770.18,241.13,17.71,1.21,0.54,101.6,74.64,0.0,0.2948
2021-10-14,22.95,25.78,17.31,770.17,223.14,16.69,1.11,0.59,97.14,78.55,25.6,0.40808
2021-10-18,17.96,26.01,13.16,771.17,246.27,15.71,0.87,0.6,98.29,75.45,0.0,0.42345
2021-10-20,16.6,28.89,14.13,772.41,242.95,15.87,1.35,0.5,102.85,79.75,31.7,0.43143000000000004
2021-10-22,17.48,29.69,13.58,771.5,209.94,15.55,1.26,0.63,82.21,80.22,0.8,0.32576
2021-10-28,17.71,30.13,14.62,771.6,234.2,17.11,1.02,0.47,70.29,69.73,0.0,0.20734
2021-10-30,22.86,28.15,18.42,771.55,255.84,14.91,1.02,0.59,103.57,80.23,36.5,0.41041000000000005
2021-11-01,14.24,26.37,9.9,771.76,257.81,16.09,1.16,0.44,158.02,82.81,10.7,0.40934
2021-11-03,10.35,29.15,9.54,771.06,291.24,16.32,1.45,0.34,102.2,71.53,0.0,0.22788999999999998
2021-11-05,13.82,24.57,13.16,770.76,222.73,15.62,1.36,0.41,102.26,73.67,1.2,0.25596
2021-11-15,11.26,24.13,11.47,770.22,240.93,17.09,1.15,0.4,131.82,70.91,1.2,0.38381
2021-11-19,7.11,23.69,5.65,770.91,229.48,15.65,1.57,0.38,134.25,79.56,22.4,0.4967
2021-11-27,20.41,23.9,16.67,770.25,266.79,16.1,0.88,0.61,135.26,77.79,0.0,0.43801
2021-12-01,17.59,20.55,13.84,770.86,232.91,16.13,1.08,0.55,101.81,82.11,9.2,0.29325
2021-12-03,10.52,23.57,12.5,769.44,265.02,16.47,1.71,0.42,85.63,77.47,0.0,0.4142
2021-12-05,8.9,26.86,8.93,770.25,242.46,17.17,1.37,0.39,157.94,75.96,0.0,0.3317
2021-12-09,7.76,22.18,10.73,769.79,236.73,17.17,1.52,0.22,139.5,79.97,25.0,0.43205000000000005
2021-12-19,4.6,20.43,4.82,770.21,219.99,16.45,1.54,0.09,100.11,82.22,0.6,0.5660000000000001
2021-12-21,4.81,23.45,5.47,770.55,200.79,16.11,1.57,0.09,50.21,81.28,1.8,0.5275
2021-12-23,8.17,19.61,10.21,771.31,278.4,17.45,1.7,0.13,84.43,74.06,0.0,0.26965
2021-12-31,6.86,33.79,16.49,769.79,276.41,17.47,1.91,0.14,79.8,74.12,0.0,0.28174
