Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2020-11-14,51.21,28.83,765.11,182.89,14.6,1.78,124.05,67.61,0.0,0.5885900000000001
2020-11-17,33.9,23.92,764.61,214.76,15.21,1.58,162.45,74.17,0.0,0.42172000000000004
2020-11-21,28.0,8.32,764.24,205.05,14.33,0.94,114.07,85.07,21.9,0.27001
2020-11-25,28.22,14.2,764.2,308.28,15.18,1.76,150.55,81.22,1.5,0.47344
2020-11-28,31.01,15.65,763.99,242.39,15.81,1.52,153.17,78.97,0.0,0.44232
2020-11-29,26.79,11.63,763.68,304.03,16.19,1.69,140.09,76.9,0.0,0.29156
2020-12-02,25.48,8.11,764.33,195.13,13.86,1.48,105.94,86.99,12.1,0.39951
2020-12-03,21.46,8.7,763.76,244.78,14.83,1.55,125.63,84.65,2.1,0.47774
2020-12-04,18.78,8.98,764.16,265.14,15.0,1.53,115.23,85.23,5.7,0.34257
2021-01-28,18.44,6.54,763.31,299.26,15.47,2.0,127.53,84.43,0.0,0.29596
2021-01-29,21.21,6.9,762.36,330.85,15.79,2.14,119.57,83.17,0.0,0.3522
2021-01-30,26.32,13.3,762.27,223.33,16.42,1.14,89.58,73.62,0.0,0.43835
2021-01-31,24.92,15.5,762.11,291.66,16.25,1.52,101.99,55.41,0.0,0.25708
2021-02-01,21.88,9.9,762.8,205.03,14.5,1.74,123.94,83.19,0.0,0.30824
2021-02-02,21.05,8.33,762.78,245.88,15.96,1.44,145.25,78.98,0.0,0.47634
2021-02-03,23.36,10.19,762.83,333.06,16.45,1.6,171.68,75.23,0.0,0.48336
2021-02-06,22.81,11.92,763.64,261.96,15.98,1.44,170.86,77.7,0.0,0.44232
2021-02-07,23.35,7.91,763.37,330.12,16.49,1.84,200.69,77.23,0.0,0.31226
2021-02-09,25.33,8.64,763.96,326.88,15.61,1.9,127.6,84.83,12.9,0.42692
2021-02-14,29.59,8.02,764.24,297.82,15.47,1.46,131.94,81.91,8.2,0.56418
2021-02-16,27.23,4.63,765.05,315.19,15.39,1.98,150.66,81.09,2.8,0.58353
2021-02-20,22.97,4.53,764.52,315.95,15.54,1.83,135.61,78.04,0.0,0.50673
2021-02-21,19.32,4.47,764.09,319.65,15.39,1.94,153.36,81.0,0.5,0.5816
2021-02-24,19.98,10.78,762.39,225.09,16.16,1.51,105.32,79.74,0.0,0.541
2021-04-02,21.38,6.71,762.36,260.36,16.43,1.72,124.1,82.73,0.0,0.17215
2021-04-06,16.6,10.69,763.32,291.27,16.09,1.43,161.31,77.77,0.0,0.5013
2021-04-07,17.85,13.53,763.81,267.58,15.66,1.65,166.98,79.3,0.0,0.5534
