Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-05-26,0.207,-5.2,14.3,5.3,0.5,9.529166667,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-05-27,0,20.1,16,9.5,4.3,11.86666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-28,1.225,20.1,28.4,13,15.9,11.15,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-29,0,4.2,27.2,14.1,10.7,13.72916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-30,2.889,15.8,32.1,19.8,16.7,16.27083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-31,1.12,11.8,40.3,13.5,16.3,12.82916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-01,1.778,21.1,30.8,22.9,12,18.975,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-02,2.151,20.2,16.5,17.4,11.1,11.35416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-03,0,22.5,21.2,12.3,6.8,12.9125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-04,0.314,-9.8,37.4,14.7,9.5,11.82916667,,Deseable,Incorrecto,Aceptable,Deseable,Deseable
2018-06-05,0,8,22,16.2,20.1,13.42083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-06,3.556,14.1,29.9,17,20.1,13.65416667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-07,3.637,11.4,37.8,16.6,-34.4,15.03333333,,Deseable,Deseable,Aceptable,Deseable,Incorrecto
2018-06-08,2,5.4,41.6,22.1,10.3,12.69444444,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-09,1.865,10,23.4,24.6,9.2,15.25416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-10,0,15.7,17.3,9.3,3.8,11.78333333,,Deseable,Deseable,Deseable,Deseable,Deseable
