Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-04-19,2.781,7.02,8.8,8.59,9.4,10.17625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-20,0.941,6.45,6.12,7.45,11.53,7.9925,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-21,3.452,21.94,17.99,10.37,14.88,18.80708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-22,1.938,14.31,5.19,13,14.91,11.79458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-23,0,7.43,15.07,6.71,19.07,13.63083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-24,1.162,14.06,27.35,6.8,24.65,21.59375,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-25,0,27.2,7.94,15.55,30.71,19.51041667,,Deseable,Aceptable,Deseable,Deseable,Aceptable
2018-04-26,0,22.26,34.23,5.47,31.97,25.62916667,,Aceptable,Deseable,Aceptable,Deseable,Aceptable
2018-04-27,0.649,25.29,31.18,14.99,11.07,23.88375,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-04-28,0,13.79,10.56,5.83,20.94,16.51291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-29,0,16.16,10.45,31.4,25.95,16.6475,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-04-30,0,8.57,4.24,25,15.8,14.30666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-01,0.184,13.01,13.55,12.56,12.89,18.11125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-02,0,5.31,33.35,26.95,11.2,15.8425,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-05-03,2.087,7.97,15.7,19.64,30.97,20.38208333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-05-04,1.074,12.99,46.35,19.09,27.7,21.57875,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-05-05,1.987,12.23,12.71,18.93,18.13,14.96625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-06,0.074,13.26,16.75,16.26,5.39,17.35708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-07,0,3.74,15.89,24.79,22.22,12.70958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-08,0,17.97,24.61,14.65,26.48,18.55954545,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-05-09,0,1.13,26.81,14.83,17.41,15.90291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-10,1.912,11.96,43.69,30.19,13.13,22.52083333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-05-11,0,21.65,50.31,22.17,25.02,22.78916667,,Deseable,Deseable,Precaucion,Deseable,Aceptable
2018-05-12,0,20.33,35.91,14.09,24.04,18.57291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-13,0,12.96,11.13,20.95,11.98,14.37833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-14,0.076,9.92,28.19,22.89,11.58,19.45166667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-15,0.543,8.62,15.46,17.87,20.22,16.01791667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-16,0,9.68,38.61,14.55,17.83,17.76791667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-17,1.489,28.77,19.21,9.68,19.27,17.81541667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-05-18,0,12.81,29.56,28.4,18.27,18.50541667,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-05-19,0.028,7.23,12.68,17.2,27.2,16.78291667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-05-20,0,33.18,17.29,7.44,14.4,21.765,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-05-21,0,3.09,21.68,14.23,25.4,13.87416667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-05-22,0.36,22.41,19.86,14.78,29.47,19.30791667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-05-23,0.452,12.49,18.34,19.73,10.67,18.83,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-24,0.119,12.57,35.63,17.98,24.76,16.62833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-25,1.983,18.51,22.63,13.3,12.65,20.41625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-26,0,18.75,20.91,12.52,15.69,16.51041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-27,0,16.58,15.18,12.37,16.19,16.58333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-28,0.289,10.2,28.56,10.59,25.39,18.6675,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-05-29,0,20.79,17.22,11.59,18.71,20.7975,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-30,2.845,17.39,20.06,19.62,23.87,19.82583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-31,0.812,17.69,16.09,14.99,10.5,14.975,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-01,0.386,11.96,3.32,26.62,27.02,16.2425,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-06-02,2.681,20.2,12.15,4.17,12.04,14.57166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-03,0,9.24,11.18,12.56,7.12,10.49333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-04,0.075,12.51,30.27,14.67,13.09,15.0535,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-05,3.114,18.1,9.13,7.6,12.84,11.1675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-06,3.234,7.41,2.86,5.72,13.06,9.395,,Deseable,Deseable,Deseable,Deseable,Deseable
