Fecha,TMP,PM25,AOD_mean,IQCA
2023-03-11,13.067916666666669,5.697083333333334,,Deseable
2023-03-12,14.510416666666666,12.399166666666666,,Deseable
2023-03-13,14.595,12.085,,Deseable
2023-03-14,13.26875,10.905833333333334,,Deseable
2023-03-15,14.599166666666669,12.4825,,Deseable
2023-03-16,15.09842105263158,16.705833333333334,,Deseable
2023-03-17,15.5875,12.108947368421052,,Deseable
2023-03-18,15.005,9.972083333333334,,Deseable
2023-03-19,13.995,11.780416666666667,,Deseable
2023-03-20,15.040416666666667,14.633333333333333,,Deseable
2023-03-21,14.730833333333337,11.742916666666666,499.454,Deseable
2023-03-22,15.364166666666668,13.589166666666666,,Deseable
2023-03-23,15.670833333333334,8.275555555555556,,Deseable
2023-03-24,14.056666666666668,6.968636363636364,,Deseable
2023-03-25,15.65875,6.098333333333333,185.844,Deseable
2023-03-26,16.923333333333336,9.877083333333331,503.996,Deseable
2023-03-27,16.079166666666666,14.93125,477.501,Deseable
2023-03-28,15.58,13.8975,463.653,Deseable
2023-03-29,15.495833333333332,12.994583333333331,,Deseable
2023-03-30,16.727083333333333,15.313333333333333,,Deseable
2023-03-31,14.3275,15.579583333333332,,Deseable
2023-04-01,15.958333333333334,17.775833333333335,,Deseable
2023-04-02,16.675,14.080833333333333,345.542,Deseable
2023-04-03,15.774583333333334,14.453333333333331,301.377,Deseable
2023-04-04,15.71875,11.338333333333331,,Deseable
2023-04-05,15.873333333333331,14.231666666666667,,Deseable
2023-04-06,14.516666666666666,9.61875,,Deseable
2023-04-07,15.221666666666666,6.244583333333334,,Deseable
2023-04-08,14.932916666666666,8.838333333333333,,Deseable
2023-04-09,15.8725,12.512916666666667,245.342,Deseable
2023-04-10,16.463333333333335,14.05125,,Deseable
2023-04-11,16.66208333333333,15.275833333333331,256.859,Deseable
2023-04-12,16.484166666666667,17.13,,Deseable
2023-04-13,17.138749999999998,13.383333333333333,419.212,Deseable
2023-04-14,17.255416666666665,15.977083333333333,463.44,Deseable
2023-04-15,16.823333333333334,15.397916666666667,,Deseable
2023-04-16,14.921666666666669,8.6775,,Deseable
2023-04-17,14.7525,9.991666666666667,,Deseable
