Fecha,Belisario,IQCA_Belisario,Belisario_AOD,Carapungo_AOD,Carapungo,IQCA_Carapungo,Centro_AOD,Centro,IQCA_Centro,Cotocollao_AOD,Cotocollao,IQCA_Cotocollao,ElCamal_AOD,ElCamal,IQCA_ElCamal,Guamani_AOD,Guamani,IQCA_Guamani,LosChillos_AOD,LosChillos,IQCA_LosChillos,SanAntonio_AOD,SanAntonio,IQCA_SanAntonio,Tumbaco_AOD,Tumbaco,IQCA_Tumbaco
2004-11-22,13.493636363636364,Deseable,247.962,197.934,,Incorrecto,281.647,7.569583333333334,Deseable,221.53,,Incorrecto,289.568,14.902499999999998,Deseable,325.042,,Incorrecto,368.973,,Incorrecto,375.615,,Incorrecto,266.764,,Incorrecto
2004-11-23,16.85833333333333,Deseable,343.006,270.555,,Incorrecto,312.046,10.940833333333332,Deseable,322.983,,Incorrecto,277.616,20.101666666666667,Deseable,319.943,,Incorrecto,202.076,,Incorrecto,287.919,,Incorrecto,200.551,,Incorrecto
2004-11-24,21.793333333333333,Deseable,552.371,463.0,,Incorrecto,549.115,15.996666666666668,Deseable,575.012,,Incorrecto,544.948,21.65833333333333,Deseable,,,Incorrecto,539.258,,Incorrecto,587.111,,Incorrecto,526.233,,Incorrecto
2004-11-25,19.01875,Deseable,,,,Incorrecto,,16.175238095238097,Deseable,,,Incorrecto,,20.55608695652174,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-26,25.046666666666667,Aceptable,,,,Incorrecto,,22.9,Deseable,,,Incorrecto,,28.53739130434783,Aceptable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-11-27,22.207727272727272,Deseable,404.058,369.766,,Incorrecto,451.522,21.12695652173913,Deseable,370.055,,Incorrecto,531.188,26.365416666666665,Aceptable,477.416,,Incorrecto,727.544,,Incorrecto,484.164,,Incorrecto,519.725,,Incorrecto
2004-11-28,16.261666666666667,Deseable,,,,Incorrecto,,15.20625,Deseable,,,Incorrecto,,20.8925,Deseable,,,Incorrecto,,,Incorrecto,458.13,,Incorrecto,551.574,,Incorrecto
2004-11-29,22.78304347826087,Deseable,583.242,534.139,,Incorrecto,551.945,14.836666666666666,Deseable,558.17,,Incorrecto,505.08,18.180833333333336,Deseable,536.419,,Incorrecto,495.808,,Incorrecto,519.138,,Incorrecto,518.604,,Incorrecto
2004-11-30,21.845416666666665,Deseable,,569.831,,Incorrecto,,16.32,Deseable,,,Incorrecto,,19.966666666666665,Deseable,,,Incorrecto,,,Incorrecto,561.706,,Incorrecto,,,Incorrecto
2004-12-01,23.0525,Deseable,563.834,390.496,,Incorrecto,552.017,19.41958333333333,Deseable,382.453,,Incorrecto,519.661,22.24304347826087,Deseable,,,Incorrecto,483.411,,Incorrecto,369.885,,Incorrecto,464.397,,Incorrecto
2004-12-02,23.35954545454545,Deseable,491.404,749.663,,Incorrecto,468.916,17.247142857142858,Deseable,547.481,,Incorrecto,434.595,19.40458333333333,Deseable,,,Incorrecto,381.464,,Incorrecto,451.508,,Incorrecto,372.556,,Incorrecto
2004-12-03,19.8025,Deseable,483.208,409.506,,Incorrecto,507.237,14.962916666666668,Deseable,400.48,,Incorrecto,501.502,16.183333333333334,Deseable,535.0,,Incorrecto,500.431,,Incorrecto,352.862,,Incorrecto,447.006,,Incorrecto
2004-12-04,21.305,Deseable,,,,Incorrecto,,16.277916666666666,Deseable,,,Incorrecto,,18.76625,Deseable,,,Incorrecto,,,Incorrecto,502.0,,Incorrecto,406.338,,Incorrecto
2004-12-05,14.382083333333334,Deseable,,,,Incorrecto,,13.321666666666667,Deseable,,,Incorrecto,,14.99875,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-12-06,12.54,Deseable,473.128,403.614,,Incorrecto,509.742,11.815416666666666,Deseable,276.201,,Incorrecto,428.64,15.33875,Deseable,426.507,,Incorrecto,471.487,,Incorrecto,458.156,,Incorrecto,380.169,,Incorrecto
2004-12-07,20.63416666666667,Deseable,258.05,259.408,,Incorrecto,228.256,19.75125,Deseable,288.543,,Incorrecto,221.411,30.362272727272728,Aceptable,273.23,,Incorrecto,179.816,,Incorrecto,273.02,,Incorrecto,238.164,,Incorrecto
2004-12-08,21.942608695652176,Deseable,358.201,367.984,,Incorrecto,398.538,19.86375,Deseable,415.967,,Incorrecto,444.182,21.5,Deseable,331.377,,Incorrecto,555.922,,Incorrecto,518.214,,Incorrecto,482.73,,Incorrecto
2004-12-09,20.80136363636364,Deseable,412.031,579.811,,Incorrecto,369.81,12.88625,Deseable,416.255,,Incorrecto,393.468,7.903333333333333,Deseable,441.523,,Incorrecto,405.342,,Incorrecto,524.693,,Incorrecto,349.634,,Incorrecto
2004-12-10,23.775714285714287,Deseable,372.506,401.456,,Incorrecto,380.209,13.653333333333334,Deseable,441.14,,Incorrecto,394.311,18.61083333333333,Deseable,449.395,,Incorrecto,451.437,,Incorrecto,363.43,,Incorrecto,389.277,,Incorrecto
2004-12-11,19.10875,Deseable,476.11,534.672,,Incorrecto,477.31,15.294166666666667,Deseable,484.381,,Incorrecto,489.436,19.395416666666662,Deseable,515.0,,Incorrecto,405.243,,Incorrecto,607.953,,Incorrecto,373.298,,Incorrecto
2004-12-12,13.794166666666667,Deseable,,,,Incorrecto,,10.515833333333331,Deseable,,,Incorrecto,,15.691250000000002,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-12-13,25.695652173913043,Aceptable,357.683,387.019,,Incorrecto,409.992,19.27625,Deseable,351.216,,Incorrecto,407.42,24.335416666666664,Deseable,451.474,,Incorrecto,428.024,,Incorrecto,361.984,,Incorrecto,343.751,,Incorrecto
