Fecha,Estacion,Nivel,Valor
2023-01-01 08:00:00,Belisario,Precaucion,83.13
2023-01-01 09:00:00,Belisario,Precaucion,65.76
2023-01-03 13:00:00,Belisario,Precaucion,60.95
2023-01-05 13:00:00,Belisario,Precaucion,51.23
2023-01-06 19:00:00,Belisario,Precaucion,52.91
2023-01-23 13:00:00,Belisario,Precaucion,55.01
2023-01-27 21:00:00,Belisario,Precaucion,96.05
2023-01-28 19:00:00,Belisario,Precaucion,79.95
2023-01-28 20:00:00,Belisario,Precaucion,129.49
2023-01-31 14:00:00,Belisario,Precaucion,54.3
2023-02-01 13:00:00,Belisario,Precaucion,60.31
2023-02-02 04:00:00,Belisario,Precaucion,51.48
2023-02-02 05:00:00,Belisario,Precaucion,55.24
2023-02-03 08:00:00,Belisario,Precaucion,52.62
2023-02-03 19:00:00,Belisario,Precaucion,61.72
2023-02-05 19:00:00,Belisario,Precaucion,53.59
2023-02-08 12:00:00,Belisario,Precaucion,54.64
2023-02-09 14:00:00,Belisario,Precaucion,59.86
2023-02-10 13:00:00,Belisario,Precaucion,54.56
2023-02-10 14:00:00,Belisario,Precaucion,72.33
2023-02-10 15:00:00,Belisario,Precaucion,57.59
2023-02-13 10:00:00,Belisario,Precaucion,59.05
2023-02-14 14:00:00,Belisario,Precaucion,56.84
2023-02-16 22:00:00,Belisario,Precaucion,56.1
2023-02-18 16:00:00,Belisario,Precaucion,51.94
2023-02-19 16:00:00,Belisario,Precaucion,66.11
2023-02-20 17:00:00,Belisario,Precaucion,90.45
2023-02-23 08:00:00,Belisario,Precaucion,52.78
2023-02-23 09:00:00,Belisario,Precaucion,51.25
2023-02-23 16:00:00,Belisario,Precaucion,57.31
2023-02-24 13:00:00,Belisario,Precaucion,57.51
2023-02-25 14:00:00,Belisario,Precaucion,60.89
2023-02-25 15:00:00,Belisario,Precaucion,60.29
2023-02-26 14:00:00,Belisario,Precaucion,51.51
2023-02-26 19:00:00,Belisario,Precaucion,57.2
2023-02-26 21:00:00,Belisario,Precaucion,52.74
2023-02-27 15:00:00,Belisario,Precaucion,51.47
2023-02-27 19:00:00,Belisario,Precaucion,56.89
2023-02-28 12:00:00,Belisario,Precaucion,62.09
2023-02-28 17:00:00,Belisario,Precaucion,52.04
2023-02-28 21:00:00,Belisario,Precaucion,51.04
2023-03-01 13:00:00,Belisario,Precaucion,52.38
2023-03-03 03:00:00,Belisario,Precaucion,59.93
2023-03-03 13:00:00,Belisario,Precaucion,51.24
2023-03-05 07:00:00,Belisario,Precaucion,55.93
2023-03-06 16:00:00,Belisario,Precaucion,56.57
2023-03-06 23:00:00,Belisario,Precaucion,63.02
2023-03-07 16:00:00,Belisario,Precaucion,57.98
2023-03-09 05:00:00,Belisario,Precaucion,51.86
2023-03-14 17:00:00,Belisario,Precaucion,55.21
2023-03-15 17:00:00,Belisario,Precaucion,64.41
