Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
5/28/2021,365,379.669,368.063,527.109,395.212,329.113,526.569,454.161,524.053
5/29/2021,330.859,307.6,249.394,478.288,434.551,202.344,428.258,518.811,180.145
5/30/2021,,543.5,573,581.267,514,,597.8,599,566.649
5/31/2021,,524.864,487.514,405.266,558,460.359,516.19,418.579,416.883
6/1/2021,239.857,238.072,232.514,349.373,240.389,176.902,354.869,384.844,180.308
6/2/2021,,,,,,,,,
6/3/2021,460.201,302.04,366.375,283.828,233.148,287.612,321.987,247.53,262.993
6/4/2021,,,,,,,414.473,,482
6/5/2021,,350.969,349.234,277.383,452.051,325.872,353.281,,347.632
6/6/2021,,,,,,549.399,,,
6/7/2021,,,,,,,,,
6/8/2021,,,,,,,,,
6/9/2021,,,,,,,,,
6/10/2021,248.772,283.968,267.748,343.2,301.798,165.783,287.835,,423.066
6/11/2021,,,,,,,,,
6/12/2021,348.09,336.337,379.756,362.063,322.24,452.258,447.715,254.487,482.166
6/13/2021,,,,,,,,,
6/14/2021,,,,,,,,,
6/15/2021,,,,,,,,,
6/16/2021,409.291,,,,,547.873,,,583.853
6/17/2021,337.779,301.665,278.703,365.392,292.391,239.605,357.724,234.303,248.864
6/18/2021,,,,,,,,,
6/19/2021,476.2,,,,,,,,
6/20/2021,400,,352.512,,,326.452,,,313.593
6/21/2021,432.331,,414,,,417.458,,,439.5
6/22/2021,388.083,277.577,279.499,316.602,328.872,295.949,306.836,297.089,297.795
6/23/2021,,,,,,,,,
6/24/2021,227.875,198.862,186.046,311.229,327.731,136.508,327.469,211.53,342.633
6/25/2021,,,533.054,,,527.502,,468.637,
6/26/2021,,,,,,,529.867,567.864,
6/27/2021,,,,,,,,,
6/28/2021,,284.98,,381,340.038,,377.06,,415
6/29/2021,133.37,136.885,145.713,149.467,128.451,181.087,147.979,114.058,308.275
6/30/2021,325.5,358.653,356.672,317.344,355.302,329.485,357.078,285.539,318.042
7/1/2021,332,388.463,394.175,307.344,324.877,331.742,306.226,214.106,352.668
7/2/2021,,,,,,,,,
7/3/2021,253.808,205.648,240.499,240.812,199.674,348.438,286.147,232.286,171.772
7/4/2021,,,,,,,,,
7/5/2021,203.2,200.739,213.043,368.958,261.426,160.858,377.945,218.06,207.346
7/6/2021,440,269.418,279.46,,276.619,239.398,,,196.562
7/7/2021,177.89,127.371,122.926,185.762,135.219,195.382,245.289,102.382,107.679
7/8/2021,394.222,400.022,399.799,291.486,326.96,379.97,243.68,205.145,265.824
7/9/2021,,443.651,438.578,519.05,419.539,459.17,514.255,497.89,458.835
7/10/2021,,,,,,,,328.472,530.003
7/11/2021,,,,,,,,,
7/12/2021,,,502.406,,,593,,,563.004
7/13/2021,,,,,,,,,
7/14/2021,279.773,309.508,278.952,293.664,265.764,290.928,361.772,328.91,332.873
7/15/2021,151.662,147.404,138.505,185.456,152.993,116.828,193.367,389.144,124.326
7/16/2021,293.737,348.68,336.612,359.399,389.349,334.691,364.531,495.402,276.529
7/17/2021,,,,,,,,,
7/18/2021,379.986,412.777,384.549,514,439.765,393.335,,369,460.98
7/19/2021,,,479.25,351,,460.414,,464.781,524.884
7/20/2021,,,,,,,,,
7/21/2021,250.141,248.931,233.368,289.028,239.778,214.277,315.222,229.868,189.9
7/22/2021,,,,,,,,,
7/23/2021,,,,,,,,,
7/24/2021,,,,,,,,,
7/25/2021,425.802,,,,,,,,
7/26/2021,,,,,,,406,476.054,
7/27/2021,447.006,536.167,537.609,439.577,490.44,490.821,449.127,364.53,
7/28/2021,316.342,338.403,458.622,295.856,313.22,429.002,293,249.528,317.038
7/29/2021,,,,,,,,,
7/30/2021,,,,,,,,,
7/31/2021,264.295,404.118,429.368,253.076,280.218,327.734,475.837,412.865,334.568
8/1/2021,227.481,331.424,304.823,253.515,384.659,271.967,292.295,372.022,352.507
8/2/2021,,,,522.92,595,,588,512.419,527.852
8/3/2021,372.452,244.824,226.205,383.639,392.147,337.089,350.305,435.809,224.482
8/4/2021,291.388,477.241,509.97,572.71,557.566,563.275,543.69,563.735,438.939
8/5/2021,,,,,,,,,
8/6/2021,313.053,278.159,318.318,284.593,285.675,353.367,289.685,224.647,324.025
8/7/2021,,,,,,371.179,,,452.788
8/8/2021,441.921,418.71,394.003,381.073,404.979,452.334,397.255,556.199,335.701
8/9/2021,,,,,,,,,
8/10/2021,322.187,359.094,343.688,346.93,409.621,403.295,343.001,323.011,336.498
8/11/2021,,389,,417.221,389.305,,,289.288,467.546
8/12/2021,,,,,,,,,
8/13/2021,429,457.744,410.263,481.589,366.853,402.889,502.252,536.919,397.518
8/14/2021,,,,,,,,,
8/15/2021,551.23,504.564,486.188,436.023,487.276,461.993,581.565,462.967,533.832
8/16/2021,,,,,,,,,
8/17/2021,290.508,493.6,503.139,,477.521,453.3,,,560.679
8/18/2021,,,,,,,,,
8/19/2021,,408.097,448.815,486.071,368.849,,478.888,,413.082
8/20/2021,236.294,207.464,168.463,248.531,207.989,91.732,293.993,261.151,84.295
8/21/2021,,,,,,,,,
8/22/2021,,,,448.535,548,,573.807,,
8/23/2021,,,,,,,,,
8/24/2021,558,528.869,,551.513,499.934,,538.022,527,578
8/25/2021,,,,,,,,,
8/26/2021,,,,,,,,,
8/27/2021,,,,,,,,,
8/28/2021,,,,,,,,,
8/29/2021,,,,,,,,,
8/30/2021,,,,,,,,,
8/31/2021,287.908,289.936,283.689,338.153,259.829,272.564,355.885,382.643,267.92
9/1/2021,,469.071,396.6,528.227,471.327,343.6,563.735,536.863,408.504
9/2/2021,,436.266,472.027,,384.231,,334.109,459.048,301
9/3/2021,375.185,339.011,332.653,,369.794,315.919,466.62,445.618,361.829
9/4/2021,410.221,371.334,358.275,347.386,366.826,393.697,376.674,347.212,434.526
9/5/2021,,,,478.585,422.105,,495.167,440.029,442.43
