Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-07-14 18:00:00,15.11,13.97,11.88,17.3,14.34,4.95,10.34,4.1,10.13
2018-07-15 18:00:00,12.63,9.24,14.73,6.24,12.66,14.28,14.49,1.5,1.01
2018-07-16 18:00:00,14.43,24.77,14.35,12.19,18.46,13.88,17.82,15.2,
2018-07-17 18:00:00,12.44,29.96,8.93,21.86,56.37,17.72,7.66,11.7,6.87
2018-07-18 18:00:00,19.05,23.56,14.15,14.52,16.55,55.26,6.71,8.7,19.82
2018-07-19 18:00:00,13.41,21.45,12.05,19.8,11.92,10.18,7.79,10.0,23.45
2018-07-20 18:00:00,17.6,18.98,20.67,16.57,15.54,14.69,14.23,22.5,14.12
2018-07-21 18:00:00,14.54,22.44,15.22,12.12,18.86,24.87,13.22,,18.2
2018-07-22 18:00:00,8.54,11.43,13.34,11.57,19.96,46.52,9.39,-2.6,18.61
2018-07-23 18:00:00,13.08,24.47,5.09,15.64,9.07,14.99,18.46,15.5,9.57
2018-07-24 18:00:00,13.52,25.9,11.88,18.5,4.19,16.22,19.94,9.4,7.63
2018-07-25 18:00:00,18.5,20.97,18.0,16.04,32.83,48.21,12.12,23.7,20.75
2018-07-26 18:00:00,23.81,22.59,23.49,22.53,33.34,31.78,28.49,3.8,23.92
2018-07-27 18:00:00,4.8,17.59,7.04,8.21,14.41,19.83,10.43,8.7,3.01
2018-07-28 18:00:00,9.72,27.12,14.56,15.4,16.99,19.25,18.17,8.4,4.53
2018-07-29 18:00:00,17.07,21.98,19.9,3.73,13.04,18.6,20.2,12.7,17.96
2018-07-30 18:00:00,12.65,12.91,6.05,10.1,4.91,19.88,4.61,17.0,14.54
2018-07-31 18:00:00,16.75,33.31,11.49,14.22,18.88,15.82,16.43,4.0,18.29
2018-08-01 18:00:00,12.76,25.57,21.31,18.39,15.81,12.06,28.59,15.2,19.16
2018-08-02 18:00:00,8.69,16.52,12.58,13.25,25.65,25.1,13.46,20.1,8.87
2018-08-03 18:00:00,20.97,29.68,26.16,22.2,12.87,39.85,18.37,8.7,20.55
2018-08-04 18:00:00,8.22,21.48,9.98,7.61,11.68,20.42,7.68,5.4,17.32
2018-08-05 18:00:00,11.77,12.26,13.74,14.21,8.28,16.15,17.29,6.0,18.2
2018-08-06 18:00:00,16.94,16.42,15.18,5.57,18.67,16.39,7.33,6.2,10.13
2018-08-07 18:00:00,10.22,21.11,12.18,6.97,12.45,13.61,13.89,18.7,6.93
2018-08-08 18:00:00,8.52,23.93,11.04,9.55,18.08,16.46,9.57,11.3,8.31
2018-08-09 18:00:00,10.9,17.25,10.28,11.63,29.47,11.3,21.87,8.8,7.98
2018-08-10 18:00:00,12.47,28.35,11.83,8.66,21.62,21.57,20.77,15.0,20.04
2018-08-11 18:00:00,6.13,23.36,8.44,10.46,9.08,14.03,4.44,14.8,10.26
2018-08-12 18:00:00,6.42,49.03,5.45,8.01,,10.29,13.04,16.8,8.42
2018-08-13 18:00:00,19.01,24.06,25.64,12.68,14.94,45.11,14.89,9.5,35.53
2018-08-14 18:00:00,9.96,19.58,13.52,12.67,0.24,24.11,20.14,16.9,30.28
2018-08-15 18:00:00,14.0,23.76,7.12,27.89,15.79,11.49,13.44,5.9,18.35
2018-08-16 18:00:00,14.54,22.67,7.62,15.56,24.27,21.12,16.25,20.3,6.27
2018-08-17 18:00:00,13.99,33.05,12.85,19.77,2.46,31.65,15.53,20.5,8.57
2018-08-18 18:00:00,10.94,23.24,5.5,18.81,18.85,15.7,18.77,0.0,12.94
2018-08-19 18:00:00,7.63,18.62,13.09,11.28,16.19,16.6,18.08,7.3,6.87
2018-08-20 18:00:00,16.26,21.69,6.89,8.43,15.19,37.62,11.03,13.4,5.13
2018-08-21 18:00:00,19.38,24.55,,15.99,15.91,13.41,15.28,13.7,13.23
2018-08-22 18:00:00,9.6,23.36,3.32,18.3,36.02,11.6,17.73,25.5,12.23
2018-08-23 18:00:00,22.71,20.34,13.52,23.97,15.23,19.25,20.33,27.5,18.17
2018-08-24 18:00:00,10.54,88.92,12.99,14.43,14.28,4.33,16.75,18.8,2.01
2018-08-25 18:00:00,10.93,25.23,8.22,18.32,22.85,16.98,13.84,18.5,9.71
2018-08-26 18:00:00,12.68,13.74,9.13,20.33,8.74,77.56,20.09,4.5,14.12
2018-08-27 18:00:00,24.04,21.18,22.85,18.41,27.8,17.97,6.62,3.4,25.28
2018-08-28 18:00:00,5.89,25.03,9.33,16.53,7.31,66.93,16.21,11.2,12.09
2018-08-29 18:00:00,,19.53,14.02,22.3,22.67,20.24,16.51,12.8,16.61
2018-08-30 18:00:00,17.59,23.31,17.9,19.54,20.05,39.64,23.8,23.8,31.94
2018-08-31 18:00:00,30.18,33.91,24.32,27.27,29.13,35.1,19.73,7.4,23.79
2018-09-01 18:00:00,11.47,20.78,4.53,15.29,23.49,24.69,18.47,13.5,36.02
2018-09-02 18:00:00,12.44,25.45,11.4,31.5,13.86,16.31,12.41,10.0,11.72
2018-09-03 18:00:00,20.03,22.62,20.68,13.06,4.75,29.77,18.19,-5.6,29.7
