Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"May 24, 2018",0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00,3.11
"May 25, 2018",0.00,5.82,2.89,0.00,3.56,0.00,0.00,0.00,0.00
"May 26, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 27, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May 28, 2018",0.00,0.00,0.00,0.00,1.03,2.61,0.00,1.12,12.75
"May 29, 2018",0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,5.83
"May 30, 2018",0.20,8.71,7.47,5.27,5.46,6.59,1.42,4.73,11.39
"May 31, 2018",5.71,2.72,3.87,3.38,1.41,1.46,3.51,2.13,1.03
"Jun 1, 2018",5.98,4.97,6.66,0.00,0.33,4.98,0.00,3.11,0.91
"Jun 2, 2018",0.52,6.18,8.38,3.41,7.69,7.13,0.00,1.73,6.34
"Jun 3, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 4, 2018",0.00,0.00,0.11,0.00,0.40,0.00,0.02,0.84,0.00
"Jun 5, 2018",0.00,7.33,4.85,0.14,4.66,6.55,0.00,0.00,0.52
"Jun 6, 2018",6.09,5.34,4.39,3.97,4.87,3.12,4.65,4.05,3.35
"Jun 7, 2018",3.04,3.31,3.27,2.34,4.72,2.09,2.40,4.29,2.08
"Jun 8, 2018",4.88,3.60,3.12,4.71,4.02,3.14,4.80,3.05,5.38
"Jun 9, 2018",2.52,2.62,6.81,0.61,3.61,6.88,6.18,2.82,5.57
"Jun 10, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 11, 2018",3.51,5.94,6.27,6.16,7.50,1.10,7.48,3.60,6.37
"Jun 12, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 13, 2018",8.57,3.61,3.53,5.58,3.66,1.05,6.95,3.05,3.81
"Jun 14, 2018",2.99,0.87,0.43,0.02,0.00,1.60,5.68,2.54,0.21
"Jun 15, 2018",0.00,0.46,1.29,0.00,0.00,0.00,0.00,0.87,0.00
"Jun 16, 2018",0.00,4.70,5.25,9.44,1.29,0.60,7.54,6.64,5.05
"Jun 17, 2018",0.00,0.00,0.00,3.01,0.00,0.00,0.00,3.79,0.00
"Jun 18, 2018",0.00,2.82,2.97,2.31,6.09,3.29,0.00,4.06,1.63
"Jun 19, 2018",0.00,0.00,0.00,0.00,1.61,2.73,0.00,0.00,3.90
"Jun 20, 2018",0.00,0.45,0.83,7.30,3.19,0.82,4.52,0.00,2.24
"Jun 21, 2018",5.78,5.96,5.40,3.01,4.52,4.91,2.04,0.58,1.37
"Jun 22, 2018",5.00,4.00,3.91,4.52,4.09,3.48,4.17,2.65,2.74
"Jun 23, 2018",0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00
"Jun 24, 2018",0.00,0.00,0.00,1.27,0.00,0.00,0.56,0.36,0.00
"Jun 25, 2018",0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.48,0.00
"Jun 26, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 27, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 28, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 29, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun 30, 2018",0.00,0.00,0.00,0.50,0.00,0.00,8.28,1.39,0.00
"Jul 1, 2018",0.00,1.61,3.31,3.31,0.06,0.00,7.40,4.90,0.00
